Champion,Picks,Bans,Wins,Presence,Pickrate,Banrate,Winrate
Ahri,2.0,0.0,0.0,0.25,0.25,0.0,0.0
Akali,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Alistar,2.0,0.0,2.0,0.25,0.25,0.0,1.0
Amumu,3.0,1.0,1.0,0.5,0.375,0.125,0.333
Anivia,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Annie,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Ashe,1.0,1.0,1.0,0.25,0.125,0.125,1.0
Blitzcrank,2.0,4.0,2.0,0.75,0.25,0.5,1.0
Cho'gath,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Diana,1.0,1.0,1.0,0.25,0.125,0.125,1.0
Dr. Mundo,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Draven,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Ezreal,3.0,0.0,0.0,0.375,0.375,0.0,0.0
Fiora,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Gangplank,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Garen,2.0,1.0,2.0,0.375,0.25,0.125,1.0
Gnar,2.0,1.0,2.0,0.375,0.25,0.125,1.0
Gragas,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Graves,1.0,3.0,0.0,0.5,0.125,0.375,0.0
Hecarim,1.0,2.0,1.0,0.375,0.125,0.25,1.0
Illaoi,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Jarvan IV,3.0,2.0,2.0,0.625,0.375,0.25,0.667
Jax,1.0,1.0,1.0,0.25,0.125,0.125,1.0
Jhin,4.0,3.0,3.0,0.875,0.5,0.375,0.75
Jinx,3.0,0.0,2.0,0.375,0.375,0.0,0.667
Kai'sa,2.0,2.0,1.0,0.5,0.25,0.25,0.5
Kennen,2.0,0.0,0.0,0.25,0.25,0.0,0.0
Kha'zix,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Kindred,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Kled,0.0,2.0,0.0,0.25,0.0,0.25,0.0
Leona,3.0,0.0,1.0,0.375,0.375,0.0,0.333
Lux,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Malphite,2.0,6.0,2.0,1.0,0.25,0.75,1.0
Malzahar,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Maokai,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Mordekaiser,1.0,2.0,0.0,0.375,0.125,0.25,0.0
Morgana,4.0,0.0,2.0,0.5,0.5,0.0,0.5
Nami,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Nautilus,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Neeko,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Nocturne,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Orianna,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Ornn,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Pantheon,0.0,3.0,0.0,0.375,0.0,0.375,0.0
Pyke,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Qiyana,1.0,1.0,1.0,0.25,0.125,0.125,1.0
Rengar,0.0,7.0,0.0,0.875,0.0,0.875,0.0
Riven,0.0,4.0,0.0,0.5,0.0,0.5,0.0
Sejuani,2.0,0.0,1.0,0.25,0.25,0.0,0.5
Seraphine,2.0,0.0,1.0,0.25,0.25,0.0,0.5
Shyvana,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Singed,0.0,2.0,0.0,0.25,0.0,0.25,0.0
Sion,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Swain,2.0,1.0,2.0,0.375,0.25,0.125,1.0
Syndra,2.0,0.0,1.0,0.25,0.25,0.0,0.5
Thresh,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Tristana,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Trundle,0.0,4.0,0.0,0.5,0.0,0.5,0.0
Udyr,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Urgot,0.0,1.0,0.0,0.125,0.0,0.125,0.0
Vi,1.0,2.0,0.0,0.375,0.125,0.25,0.0
Vladimir,1.0,2.0,1.0,0.375,0.125,0.25,1.0
Xayah,1.0,1.0,0.0,0.25,0.125,0.125,0.0
Xerath,1.0,0.0,1.0,0.125,0.125,0.0,1.0
Xin Zhao,1.0,4.0,0.0,0.625,0.125,0.5,0.0
Yasuo,0.0,2.0,0.0,0.25,0.0,0.25,0.0
Zac,1.0,0.0,0.0,0.125,0.125,0.0,0.0
Ziggs,1.0,0.0,0.0,0.125,0.125,0.0,0.0
